,roomId,accommodationId,name,checkIn,checkOut,defaultPeople,maxPeople
1231,1232,249,2층 패밀리룸,14.0,12,6,9
1232,1233,249,1층 그랜드룸,14.0,12,6,9
1233,1234,249,1층2층 독채,14.0,12,6,9
1234,1235,250,아미방,15.0,11,4,6
1235,1236,250,요미방,15.0,11,4,6
1236,1237,251,비쥬,15.0,11,2,4
1237,1238,251,아베끄,15.0,11,2,4
1238,1239,251,래즈,15.0,11,2,4
1239,1240,252,앵무새(1층),15.0,11,2,4
1240,1241,252,파랑새(2층),15.0,11,2,4
1241,1242,252,그랜드룸,15.0,11,2,4
1242,1243,253,빅토리아,14.0,11,2,4
1243,1244,253,인버디아,14.0,11,2,4
1244,1245,253,판탄소스,14.0,11,2,4
1245,1246,253,포루투나,14.0,11,2,4
1246,1247,255,루비,14.0,11,2,2
1247,1248,255,비취,14.0,11,2,2
1248,1249,255,진주,14.0,11,2,2
1249,1250,255,까메오(복층),14.0,11,2,2
1250,1251,255,자수정(복층),14.0,11,2,2
1251,1252,255,제이드(복층),14.0,11,2,2
1252,1253,255,터키석(복층),14.0,11,2,2
1253,1254,255,흑진주(복층),14.0,11,2,2
1254,1255,255,에메랄드(복층),14.0,11,2,2
1255,1256,256,그린,14.0,11,2,2
1256,1257,256,골드,14.0,11,2,2
1257,1258,256,화이트,14.0,11,2,2
1258,1259,256,블루,14.0,11,2,2
1259,1260,256,블랙,14.0,11,2,2
1260,1261,256,레드,14.0,11,2,2
1261,1262,256,그레이,14.0,11,2,2
1262,1263,258,노루,15.0,12,4,6
1263,1264,258,사슴,15.0,12,4,6
1264,1265,258,토끼,15.0,12,4,6
1265,1266,258,다람쥐,15.0,12,4,6
1266,1267,258,다람쥐+사슴,15.0,12,4,6
1267,1268,258,코끼리,15.0,12,4,6
1268,1269,259,2층 3층(독채형),15.0,11,5,10
1269,1270,261,103호,15.0,11,4,6
1270,1271,261,203호,15.0,11,4,6
1271,1272,261,3층,15.0,11,4,6
1272,1273,261,독채1,15.0,11,4,6
1273,1274,264,소가족방,15.0,11,2,5
1274,1275,264,가족방,15.0,11,2,5
1275,1276,264,단체방,15.0,11,2,5
